t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651242072,1460,7022,33.969844,0,282.952279,8.000000,16.000000,84.000000,197.100000,410.170000,6976.644000
1651242102,1462,7022,33.971790,0,282.952142,8.000000,16.000000,84.000000,197.100000,410.170000,6976.644000
1651242132,1463,7022,33.971790,0,282.952142,8.000000,16.000000,84.000000,197.100000,410.170000,6976.644000
1651242162,1465,7022,33.976654,0,282.951727,8.000000,16.000000,84.000000,197.100000,410.170000,6976.644000
1651242192,1466,7022,33.974708,0,282.951892,8.000000,16.000000,84.000000,197.100000,410.170000,6976.644000
1651242222,1468,7022,33.988327,0,282.950854,8.000000,16.000000,84.000000,197.100000,410.170000,6976.644000
1651242252,1469,7022,33.917315,0,282.947200,8.000000,16.000000,83.550000,197.100000,410.170000,6976.644000
1651242282,1471,7022,33.871595,0,282.947910,8.000000,16.000000,83.550000,197.100000,410.170000,6976.644000
1651242312,1472,7022,33.868677,0,282.948121,8.000000,16.000000,83.550000,197.100000,410.170000,6976.644000
1651242342,1474,7022,33.795720,0,282.944335,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242372,1475,7022,33.801556,0,282.943802,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242402,1477,7022,33.788911,0,282.944789,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242432,1478,7022,33.768482,0,282.945243,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242463,1480,7022,33.774319,0,282.944635,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242493,1481,7022,33.779183,0,282.944338,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242523,1483,7022,33.772374,0,282.944448,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242553,1484,7022,33.776265,0,282.944079,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242583,1486,7022,33.759728,0,282.945052,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242613,1487,7022,33.768482,0,282.944176,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242643,1489,7022,33.777237,0,282.943394,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242673,1490,7022,33.733463,0,282.942349,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242703,1492,7022,33.743191,0,282.941567,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242733,1493,7022,33.743191,0,282.941567,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242763,1495,7022,33.756809,0,282.940415,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242793,1496,7022,33.760700,0,282.940033,8.000000,16.000000,82.100000,197.100000,410.170000,6976.644000
1651242823,1498,7022,33.506809,0,282.839537,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651242853,1499,7022,33.503891,0,282.839774,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651242883,1501,7022,33.506809,0,282.839526,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651242913,1502,7022,33.506809,0,282.839526,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651242943,1504,7022,33.497082,0,282.840026,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651242973,1505,7022,33.496109,0,282.840094,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651243003,1507,7022,33.475681,0,282.841405,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651243033,1508,7022,33.473735,0,282.841532,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651243063,1510,7022,33.474708,0,282.841432,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651243093,1511,7022,33.481518,0,282.840855,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651243123,1513,7022,33.489300,0,282.840180,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651243153,1514,7022,33.491245,0,282.839998,8.000000,16.000000,79.200000,182.240000,410.170000,6976.644000
1651243183,1516,7022,33.385214,0,282.829092,8.000000,16.000000,76.550000,182.240000,410.170000,6976.644000
1651243213,1517,7022,33.295720,0,282.821915,8.000000,16.000000,75.550000,182.240000,410.170000,6976.644000
1651243243,1519,7022,33.305447,0,282.821285,8.000000,16.000000,75.550000,182.240000,410.170000,6976.644000
1651243273,1520,7022,33.305447,0,282.821285,8.000000,16.000000,75.550000,182.240000,410.170000,6976.644000
1651243303,1522,7022,33.311284,0,282.820742,8.000000,16.000000,75.550000,182.240000,410.170000,6976.644000
1651243333,1523,7022,33.311284,0,282.820742,8.000000,16.000000,75.550000,182.240000,410.170000,6976.644000
1651243363,1525,7022,33.179961,0,282.800654,8.000000,16.000000,75.000000,182.240000,410.170000,6976.644000
1651243393,1526,7022,33.188716,0,282.799889,8.000000,16.000000,75.000000,182.240000,410.170000,6976.644000
1651243423,1528,7022,33.094358,0,282.790418,8.000000,16.000000,75.000000,182.240000,410.170000,6976.644000
1651243453,1529,7022,33.102140,0,282.790030,8.000000,16.000000,75.000000,182.240000,410.170000,6976.644000
1651243483,1531,7022,33.095331,0,282.790430,8.000000,16.000000,75.000000,182.240000,410.170000,6976.644000
1651243513,1532,7022,33.056420,0,282.790853,8.000000,16.000000,75.000000,182.240000,410.170000,6976.644000
1651244015,1533,7022,33.056420,0,282.790853,8.000000,16.000000,75.000000,182.240000,410.170000,6976.644000
1651244045,1535,7022,33.035992,0,282.792552,8.000000,15.750000,75.000000,182.240000,410.170000,6976.644000
1651244075,1536,7022,33.035019,0,282.792651,8.000000,15.750000,75.000000,182.240000,410.170000,6976.644000
1651244105,1538,7022,33.035019,0,282.792651,8.000000,15.750000,75.000000,182.240000,410.170000,6976.644000
1651244135,1539,7022,33.035019,0,282.792651,8.000000,15.750000,75.000000,182.240000,410.170000,6976.644000
1651244165,1541,7022,33.037938,0,282.792346,8.000000,15.750000,75.000000,182.240000,410.170000,6976.644000
1651244195,1542,7022,33.039883,0,282.792132,8.000000,15.750000,75.000000,182.240000,410.170000,6976.644000
1651244225,1544,7022,33.044747,0,282.791640,8.000000,15.750000,75.000000,182.240000,410.170000,6976.644000
1651244255,1545,7022,33.038911,0,282.792178,8.000000,15.750000,75.000000,182.240000,410.170000,6976.644000
1651244285,1547,7022,32.978599,0,282.791540,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244315,1548,7022,32.960117,0,282.792748,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244345,1550,7022,32.963035,0,282.792434,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244375,1551,7022,32.961089,0,282.792619,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244405,1553,7022,32.909533,0,282.793422,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244435,1554,7022,32.907588,0,282.793614,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244465,1556,7022,32.899805,0,282.794300,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244495,1557,7022,32.902724,0,282.793996,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244525,1559,7022,32.873541,0,282.795121,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244555,1560,7022,32.873541,0,282.795121,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244585,1562,7022,32.877432,0,282.794709,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244615,1563,7022,32.877432,0,282.794709,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244645,1565,7022,32.875486,0,282.794908,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244675,1566,7022,32.875486,0,282.794908,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244705,1568,7022,32.875486,0,282.794908,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244736,1569,7022,32.862840,0,282.795865,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244766,1571,7022,32.862840,0,282.795865,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244796,1572,7022,32.846304,0,282.797115,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244826,1574,7022,32.848249,0,282.796923,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244856,1575,7022,32.836576,0,282.797701,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244886,1577,7022,32.836576,0,282.797701,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244916,1578,7022,32.836576,0,282.797701,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244946,1580,7022,32.839494,0,282.797388,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651244976,1581,7022,32.843385,0,282.796991,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651245006,1583,7022,32.843385,0,282.796991,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651245036,1584,7022,32.846304,0,282.796708,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651245066,1586,7022,32.839494,0,282.797319,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651245096,1587,7022,32.838521,0,282.797403,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651245126,1589,7022,32.836576,0,282.797588,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651245156,1590,7022,32.836576,0,282.797588,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651245186,1592,7022,32.834630,0,282.797773,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
1651245216,1593,7022,32.834630,0,282.797773,8.000000,15.000000,75.000000,182.240000,410.170000,6976.644000
